station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
Jamaica-179 St,,F,EL433,EL,mezzanine to terminal platform,Y,09/28/2026 10:00:00 PM,09/29/2026 06:00:00 AM,Maintenance,Y,N
Jamaica-179 St,,F,EL432,EL,mezzanine to Manhattan-bound platform,Y,09/28/2026 10:00:00 PM,09/29/2026 06:00:00 AM,Maintenance,Y,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL421,EL,transfer mezzanine to Manhattan-bound E/F/M/R platform and mezzanine for access to Queens-bound E/F/M/R service,Y,09/28/2026 10:00:00 PM,09/29/2026 06:00:00 AM,Maintenance,Y,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL422,EL,mezzanine to Forest Hills and Jamaica-bound E/F/M/R platform,Y,09/28/2026 10:00:00 PM,09/29/2026 06:00:00 AM,Maintenance,Y,N
Jamaica-179 St,,F,EL431,EL,179 Pl & Hillside Ave (SE corner) to mezzanine for Manhattan-bound service,Y,09/28/2026 10:00:00 PM,09/29/2026 06:00:00 AM,Maintenance,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
DeKalb Av,,B/Q/R,EL370,EL,Dekalb Ave & Flatbush Ave (SW corner) and mezzanine for service in both directions,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL335,EL,uptown A/C/E platform to transfer mezzanine and uptown B/D/F/M platform,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
Crown Hts-Utica Av,,3/4,EL322,EL,Utica Ave & Eastern Pkwy to mezzanine for service in both directions,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
Church Av,,2/5,EL321,EL,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College-bound platform,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
DeKalb Av,,B/Q/R,EL372,EL,"mezzanine to Brighton Beach, Coney Island, and Bay Ridge-bound platform",Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
DeKalb Av,,B/Q/R,EL371,EL,mezzanine to Manhattan-bound platform,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL333,EL,W 3rd St & 6th Ave (NE corner) to mezzanine for A/C/E service and access to B/D/F/M service,Y,09/25/2026 10:00:00 PM,09/26/2026 06:00:00 AM,Maintenance,Y,N
14 St,,F/M/L/1/2/3,EL614,EL,F/M uptown mezzanine to F/M uptown platform.,Y,09/24/2026 10:00:00 PM,09/25/2026 06:00:00 AM,Maintenance,Y,N
6 Av,,F/M/L/1/2/3,EL612,EL,Street (NW corner of 14 St and 6 Av) to F/M downtown mezzanine and L mezzanine.,Y,09/24/2026 10:00:00 PM,09/25/2026 06:00:00 AM,Maintenance,Y,N
14 St,,F/M/L/1/2/3,EL615,EL,SW corner of 14 St & 7 Av to 1/2/3 mezzanine.,Y,09/24/2026 10:00:00 PM,09/25/2026 06:00:00 AM,Maintenance,Y,N
6 Av,,F/M/L/1/2/3,EL613,EL,F/M downtown mezzanine to F/M downtown platform.,Y,09/24/2026 10:00:00 PM,09/25/2026 06:00:00 AM,Maintenance,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL333,EL,W 3rd St & 6th Ave (NE corner) to mezzanine for A/C/E service and access to B/D/F/M service,Y,09/24/2026 09:00:00 AM,09/24/2026 12:00:00 PM,Inspection,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL333,EL,W 3rd St & 6th Ave (NE corner) to mezzanine for A/C/E service and access to B/D/F/M service,Y,09/23/2026 10:00:00 PM,09/24/2026 06:00:00 AM,Maintenance,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL220,EL,mezzanine to downtown N/Q/R/W platform,Y,09/23/2026 10:00:00 PM,09/24/2026 06:00:00 AM,Maintenance,Y,N
8 Av,,A/C/E/L,EL224,EL,mezzanine to L platform for service in both directions,Y,09/23/2026 10:00:00 PM,09/24/2026 06:00:00 AM,Maintenance,Y,N
14 St,,A/C/E/L,EL222,EL,mezzanine to downtown A/C/E platform,Y,09/23/2026 10:00:00 PM,09/24/2026 06:00:00 AM,Maintenance,Y,N
