station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
Parkchester,,6,ES111,ES,Westchester Ave entrance to Manhattan-bound platform,N,01/05/2024 12:50:00 PM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
61 St-Woodside,,7/LIRR,ES448,ES,61 St & Roosevelt Ave (SE corner) to mezzanine,N,09/30/2024 12:05:00 PM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
42St/Port Authority-Bus Terminal,,A/C/E/N/Q/R/W/1/2/3/7/S,EL290X,EL,intermediate landing to mezzanine for A/C/E service in both directions,Y,10/28/2024 06:26:00 AM,06/30/2026 10:00:00 PM,Repair,N,N
161 St-Yankee Stadium,,B/D/4,EL132,EL,B/D mezzanine to Woodlawn-bound 4 platform and mezzanine for Manhattan-bound 4 service,Y,11/06/2024 09:00:00 AM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
161 St-Yankee Stadium,,B/D/4,EL133,EL,mezzanine to Manhattan-bound 4 platform,Y,11/06/2024 09:00:00 AM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES401,ES,Lexington Ave & 63 St (NW corner) to upper mezzanine,N,12/11/2024 11:00:00 PM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES423,ES,mezzanine to Manhattan-bound platform,N,04/21/2025 10:20:00 PM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES424,ES,Manhattan-bound platform to mezzanine,N,04/21/2025 10:20:00 PM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES426,ES,Jamaica 179 St-bound platform to mezzanine,N,08/07/2025 08:36:00 AM,04/30/2026 11:00:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES425,ES,mezzanine to Jamaica 179 St-bound platform,N,08/07/2025 08:36:00 AM,04/30/2026 11:00:00 PM,Capital Replacement,N,N
High St,,A/C,ES350,ES,lower mezzanine to upper mezzanine for Cadman Plaza West & Middagh St exit,N,08/11/2025 10:15:00 PM,05/11/2026 10:00:00 PM,Capital Replacement,N,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,09/30/2025 10:45:00 AM,04/30/2026 11:59:00 PM,Capital Replacement,N,N
Church Av,,2/5,EL321,EL,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College-bound platform,Y,10/06/2025 10:24:00 PM,05/31/2026 11:59:00 PM,Capital Replacement,N,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL421,EL,transfer mezzanine to Manhattan-bound E/F/M/R platform and mezzanine for access to Queens-bound E/F/M/R service,Y,10/27/2025 03:31:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL422,EL,mezzanine to Forest Hills and Jamaica-bound E/F/M/R platform,Y,10/28/2025 11:20:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES410,ES,Uptown Q/Queens-bound M platform to lower mezzanine for 63 St/Lexington Av exit.,N,11/12/2025 08:00:00 PM,05/31/2026 11:57:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES409,ES,lower mezzanine (Lexington Ave & 63 St) to uptown Q and Queens-bound M platform,N,11/12/2025 08:00:00 PM,05/31/2026 11:59:00 PM,Capital Replacement,N,N
Park Place,,A/C/E/R/W/2/3,ES302,ES,mezzanine (Park Pl & Broadway) to 2/3 platform for service in both directions,N,11/20/2025 08:58:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Jamaica-179 St,,F,EL433,EL,mezzanine to terminal platform,Y,11/21/2025 11:40:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
