,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
360,L17,128,630,BMT,Canarsie,Myrtle-Wyckoff Avs,Bk,False,L,Subway,40.699814,-73.911586,Manhattan,Outbound,1,1,1,,POINT (-73.911586 40.699814)
361,R09,461,461,BMT,Astoria,Queensboro Plaza,Q,False,N W,Elevated,40.750582,-73.940202,Astoria,Manhattan,1,1,1,,POINT (-73.940202 40.750582)
364,G06,279,279,IND,Queens - Archer,Sutphin Blvd-Archer Av-JFK Airport,Q,False,E J Z,Subway,40.700486,-73.807969,Jamaica,Manhattan,1,1,1,,POINT (-73.807969 40.700486)
367,F06,259,259,IND,Queens Blvd,Kew Gardens-Union Tpke,Q,False,E F,Subway,40.714441,-73.831008,Jamaica,Manhattan,1,1,1,,POINT (-73.831008 40.714441)
370,R20,15,602,BMT,Broadway - Brighton,14 St-Union Sq,M,True,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,1,1,1,,POINT (-73.990568 40.735736)
371,224,438,438,IRT,Lenox - White Plains Rd,135 St,M,False,2 3,Subway,40.814229,-73.94077,Uptown,Downtown,1,1,1,,POINT (-73.94077 40.814229)
381,232,335,620,IRT,Clark St,Borough Hall,Bk,False,2 3,Subway,40.693219,-73.989998,Manhattan,Outbound,1,1,1,,POINT (-73.989998 40.693219)
383,H15,203,203,IND,Rockaway,Rockaway Park-Beach 116 St,Q,False,A S,At Grade,40.580903,-73.835592,Inbound,Last Stop,1,1,1,,POINT (-73.835592 40.580903)
391,F09,274,606,IND,Queens Blvd,Court Sq-23 St,Q,False,E M,Subway,40.747846,-73.946,Outbound,Manhattan,2,1,0,Manhattan-bound only,POINT (-73.946 40.747846)
392,407,382,382,IRT,Jerome Av,Fordham Rd,Bx,False,4,Elevated,40.862803,-73.901034,Northbound,Manhattan,1,1,1,,POINT (-73.901034 40.862803)
400,E01,171,624,IND,8th Av - Fulton St,World Trade Center,M,True,E,Subway,40.712582,-74.009781,Uptown,Last Stop,1,1,1,,POINT (-74.009781 40.712582)
401,S03,141,141,BMT,Franklin Shuttle,Park Pl,Bk,False,S,Open Cut,40.674772,-73.957624,Franklin Av,Prospect Park,1,1,1,,POINT (-73.957624 40.674772)
406,420,414,414,IRT,Lexington Av,Bowling Green,M,True,4 5,Subway,40.704817,-74.014065,Uptown,Downtown,1,1,1,,POINT (-74.014065 40.704817)
416,R17,12,607,BMT,Broadway - Brighton,34 St-Herald Sq,M,True,N Q R W,Subway,40.749567,-73.98795,Uptown,Downtown,1,1,1,,POINT (-73.98795 40.749567)
417,901,469,610,IRT,Lexington - Shuttle,Grand Central-42 St,M,True,S,Subway,40.752769,-73.979189,Times Square,Last Stop,1,1,1,,POINT (-73.979189 40.752769)
418,142,330,635,IRT,Broadway - 7Av,South Ferry,M,True,1,Subway,40.702068,-74.013664,Uptown,Last Stop,1,1,1,,POINT (-74.013664 40.702068)
420,640,411,622,IRT,Lexington Av,Brooklyn Bridge-City Hall,M,True,4 5 6,Subway,40.713065,-74.004131,Uptown,Downtown,1,1,1,,POINT (-74.004131 40.713065)
422,211,424,424,IRT,Lenox - White Plains Rd,Pelham Pkwy,Bx,False,2 5,Elevated,40.857192,-73.867615,Northbound,Manhattan,1,1,1,,POINT (-73.867615 40.857192)
430,A09,148,605,IND,8th Av - Fulton St,168 St,M,False,A C,Subway,40.840719,-73.939561,Uptown,Downtown,1,1,1,,POINT (-73.939561 40.840719)
431,G05,278,278,IND,Queens - Archer,Jamaica Center-Parsons/Archer,Q,False,E J Z,Subway,40.702147,-73.801109,Last Stop,Manhattan,1,1,1,,POINT (-73.801109 40.702147)
432,109,299,299,IRT,Broadway - 7Av,Dyckman St,M,False,1,Elevated,40.860531,-73.925536,The Bronx,Downtown,1,1,1,,POINT (-73.925536 40.860531)
436,G14,267,616,IND,Queens Blvd,Jackson Hts-Roosevelt Av,Q,False,E F M R,Subway,40.746644,-73.891338,Outbound,Manhattan,1,1,1,,POINT (-73.891338 40.746644)
437,D35,51,51,BMT,Broadway - Brighton,Kings Hwy,Bk,False,B Q,Open Cut,40.60867,-73.957734,Manhattan,Southbound,1,1,1,,POINT (-73.957734 40.60867)
438,626,397,397,IRT,Lexington Av,86 St,M,False,4 5 6,Subway,40.779492,-73.955589,Uptown,Downtown,2,1,0,Uptown local only,POINT (-73.955589 40.779492)
439,R03,2,2,BMT,Astoria,Astoria Blvd,Q,False,N W,Elevated,40.770258,-73.917843,Astoria,Manhattan,1,1,1,,POINT (-73.917843 40.770258)
447,205,418,418,IRT,Lenox - White Plains Rd,233 St,Bx,False,2 5,Elevated,40.893193,-73.857473,Northbound,Manhattan,1,1,1,,POINT (-73.857473 40.893193)
451,621,392,392,IRT,Lexington Av,125 St,M,False,4 5 6,Subway,40.804138,-73.937594,The Bronx,Downtown,1,1,1,,POINT (-73.937594 40.804138)
453,137,327,327,IRT,Broadway - 7Av,Chambers St,M,True,1 2 3,Subway,40.715478,-74.009266,Uptown,Downtown,1,1,1,,POINT (-74.009266 40.715478)
454,A65,195,195,IND,Liberty Av,Ozone Park-Lefferts Blvd,Q,False,A,Elevated,40.685951,-73.825798,Manhattan,Last Stop,1,1,1,,POINT (-73.825798 40.685951)
463,712,456,456,IRT,Flushing,61 St-Woodside,Q,False,7,Elevated,40.74563,-73.902984,Outbound,Manhattan,1,1,1,,POINT (-73.902984 40.74563)
467,104,295,295,IRT,Broadway - 7Av,231 St,Bx,False,1,Elevated,40.878856,-73.904834,Van Cortlandt,Manhattan,1,1,1,,POINT (-73.904834 40.878856)
469,A28,164,164,IND,8th Av - Fulton St,34 St-Penn Station,M,True,A C E,Subway,40.752287,-73.993391,Uptown,Downtown,1,1,1,,POINT (-73.993391 40.752287)
472,120,310,310,IRT,Broadway - 7Av,96 St,M,False,1 2 3,Subway,40.793919,-73.972323,Uptown,Downtown,1,1,1,,POINT (-73.972323 40.793919)
473,A45,178,627,IND,8th Av - Fulton St,Franklin Av,Bk,False,C,Subway,40.68138,-73.956848,Manhattan,Outbound,1,1,1,,POINT (-73.956848 40.68138)
474,630,401,612,IRT,Lexington Av,51 St,M,True,6,Subway,40.757107,-73.97192,Uptown,Downtown,1,1,1,,POINT (-73.97192 40.757107)
475,N02,71,71,BMT,Sea Beach,8 Av,Bk,False,N,Open Cut,40.635064,-74.011719,Manhattan,Coney Island,1,1,1,,POINT (-74.011719 40.635064)
477,235,338,617,IRT,Eastern Pky,Atlantic Av-Barclays Ctr,Bk,False,2 3 4 5,Subway,40.684359,-73.977666,Manhattan,Outbound,1,1,1,,POINT (-73.977666 40.684359)
478,247,359,359,IRT,Nostrand,Flatbush Av-Brooklyn College,Bk,False,2 5,Subway,40.632836,-73.947642,Manhattan,Last Stop,1,1,1,,POINT (-73.947642 40.632836)
480,D17,227,607,IND,6th Av - Culver,34 St-Herald Sq,M,True,B D F M,Subway,40.749719,-73.987823,Uptown,Downtown,1,1,1,,POINT (-73.987823 40.749719)
482,L01,115,618,BMT,Canarsie,8 Av,M,True,L,Subway,40.739777,-74.002578,Last Stop,Brooklyn,1,1,1,,POINT (-74.002578 40.739777)
483,718,461,461,IRT,Flushing,Queensboro Plaza,Q,False,7,Elevated,40.750582,-73.940202,Outbound,Manhattan,1,1,1,,POINT (-73.940202 40.750582)
485,M12,98,98,BMT,Jamaica,Flushing Av,Bk,False,M J,Elevated,40.70026,-73.941126,Outbound,Manhattan,1,1,1,,POINT (-73.941126 40.70026)
489,D07,215,215,IND,Concourse,Tremont Av,Bx,False,B D,Subway,40.85041,-73.905227,Northbound,Manhattan,1,1,1,,POINT (-73.905227 40.85041)
490,L08,120,120,BMT,Canarsie,Bedford Av,Bk,False,L,Subway,40.717304,-73.956872,Manhattan,Outbound,1,1,1,,POINT (-73.956872 40.717304)
491,B06,222,222,IND,63rd St,Roosevelt Island,M,False,F,Subway,40.759145,-73.95326,Queens,Downtown,1,1,1,,POINT (-73.95326 40.759145)
492,J15,83,83,BMT,Jamaica,Woodhaven Blvd,Q,False,J Z,Elevated,40.693879,-73.851576,Jamaica,Manhattan,1,1,1,,POINT (-73.851576 40.693879)
